Page,Sentence,Entity,Type
11,"The provisions of this Section
imply that the Court is the only appropriate authority which is
entitled to raise grievance in relation to perjury, forgery of
documents produced before the Court, and other offences which
interfere with the effective dispensation of justice by the Court.",Court,ORG
11,"The provisions of this Section
imply that the Court is the only appropriate authority which is
entitled to raise grievance in relation to perjury, forgery of
documents produced before the Court, and other offences which
interfere with the effective dispensation of justice by the Court.",Court,ORG
11,"Hence, it for the Court to exercise its discretion and consider the
suitability of making a complaint for such offences.",Court,ORG
11,"However,
there is a pertinent difference in the wording of Section 195(1)(b)
(i) and Section 195(1)(b)(ii) inasmuch as Section 195(1)(b)(ii) is
restricted to offences which are committed in respect of a
document which is “produced or given in evidence in a proceeding
in any court”.",Section 195(1)(b)(ii,LAW
11,"Whereas Section 195(1)(b)(i) applies to offences
against public justice which are committed not only in any
proceeding in any court, but also “in relation to” such proceeding.",Section 195(1)(b)(i,LAW
11,"Whether such semantical difference bars the analogous
application of precedents relating to Section 195(1)(b)(ii) for
interpreting Section 195(1)(b)(i) will be discussed by us later.",Section 195(1)(b)(ii,LAW
11,"Whether such semantical difference bars the analogous
application of precedents relating to Section 195(1)(b)(ii) for
interpreting Section 195(1)(b)(i) will be discussed by us later.",Section 195(1)(b)(i,LAW
12,"5.1 Section 340, CrPC prescribes the procedure to be
followed for recording a complaint under Section 195(1)(b):
“340.",5.1,CARDINAL
12,"5.1 Section 340, CrPC prescribes the procedure to be
followed for recording a complaint under Section 195(1)(b):
“340.",Section 340,LAW
12,"5.1 Section 340, CrPC prescribes the procedure to be
followed for recording a complaint under Section 195(1)(b):
“340.",CrPC,ORG
12,"5.1 Section 340, CrPC prescribes the procedure to be
followed for recording a complaint under Section 195(1)(b):
“340.",Section 195(1)(b,LAW
12,"5.1 Section 340, CrPC prescribes the procedure to be
followed for recording a complaint under Section 195(1)(b):
“340.",340,CARDINAL
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Court,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",1,CARDINAL
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",section 195,LAW
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Court,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Court,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Court,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Magistrate,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",first,ORDINAL
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Magistrate,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Court,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Magistrate,ORG
12,"When upon an application made to it in
this behalf or otherwise any Court is of opinion that it
is expedient in the interest of justice that an inquiry
should be made into any offence referred to in clause
(b) of Sub­Section (1) of section 195, which appears to
have been committed in or in relation to a proceeding
in that Court or, as the case may be, in respect of a
document produced or given in evidence in a
proceeding in that Court, such Court may, after such
preliminary inquiry, if any, as it thinks necessary;
(a) record a finding to that effect;
(b) make a complaint thereof in writing;
(c) send it to a Magistrate of the first class having
jurisdiction;
(d) take sufficient security for the appearance for the
accused before such Magistrate, or if the alleged
offence is non­bailable and the Court thinks it
necessary so to do send the accused in custody to
such Magistrate; and
(e) bind over any person to appear and give evidence
before such Magistrate.",Magistrate,ORG
12,"In this section, “Court” has the same meaning as
in section 195.”",section 195,LAW
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",one,CARDINAL
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",State,ORG
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",Punjab,NORP
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12","Jasbir
Singh",PERSON
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",2020,DATE
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",12,CARDINAL
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",Court,ORG
12,"At this juncture, it is relevant to note that a Bench of this
Court (consisting of one of us) in State of Punjab v. Jasbir
Singh, (2020) 12 SCC 96, has referred the question of whether it
is mandatory for the Court to conduct a preliminary inquiry and
provide opportunity of hearing to the would­be­accused under
12",12,CARDINAL
13,"Section 340, CrPC prior to making a complaint under Section
195, for consideration of a larger Bench.",Section 340,LAW
13,"Section 340, CrPC prior to making a complaint under Section
195, for consideration of a larger Bench.",CrPC,ORG
13,"Section 340, CrPC prior to making a complaint under Section
195, for consideration of a larger Bench.",195,CARDINAL
13,"Section 340, CrPC prior to making a complaint under Section
195, for consideration of a larger Bench.",Bench,PRODUCT
13,"Therefore, we shall be
limiting our findings to the issue of whether written complaint by
the Trial
Court was required under Section 195(1)(b)(i), CrPC in the
present case, without delving extensively into the aspect of
whether preliminary inquiry was required to be conducted prior
to such complaint.","the Trial
Court",ORG
13,"Therefore, we shall be
limiting our findings to the issue of whether written complaint by
the Trial
Court was required under Section 195(1)(b)(i), CrPC in the
present case, without delving extensively into the aspect of
whether preliminary inquiry was required to be conducted prior
to such complaint.",Section 195(1)(b)(i,LAW
13,"Therefore, we shall be
limiting our findings to the issue of whether written complaint by
the Trial
Court was required under Section 195(1)(b)(i), CrPC in the
present case, without delving extensively into the aspect of
whether preliminary inquiry was required to be conducted prior
to such complaint.",CrPC,ORG
13,"We also find it necessary to consider Sections 192 and
193 of the IPC for the purpose of deciding this matter.",Sections 192,PRODUCT
13,"We also find it necessary to consider Sections 192 and
193 of the IPC for the purpose of deciding this matter.",193,CARDINAL
13,"We also find it necessary to consider Sections 192 and
193 of the IPC for the purpose of deciding this matter.",IPC,ORG
13,"Both fall
under Chapter XI, under the heading “Of False Evidence and
Offences Against Public Justice”, of the IPC.",Of False Evidence,WORK_OF_ART
13,"Both fall
under Chapter XI, under the heading “Of False Evidence and
Offences Against Public Justice”, of the IPC.",IPC,ORG
14,"Whoever
intentionally gives false evidence in any stage of a
judicial proceeding, or fabricates false evidence for
the purpose of being used in any stage of a judicial
proceeding, shall be punished with imprisonment of
either description for a term which may extend to
seven years, and shall also be liable to fine…
Explanation 2: An investigation directed by law
preliminary to a proceeding before a Court of Justice,
is a stage of a judicial proceeding, though that
investigation may not take place before a Court of
Justice.”",seven years,DATE
14,"Whoever
intentionally gives false evidence in any stage of a
judicial proceeding, or fabricates false evidence for
the purpose of being used in any stage of a judicial
proceeding, shall be punished with imprisonment of
either description for a term which may extend to
seven years, and shall also be liable to fine…
Explanation 2: An investigation directed by law
preliminary to a proceeding before a Court of Justice,
is a stage of a judicial proceeding, though that
investigation may not take place before a Court of
Justice.”",Court of Justice,ORG
14,"Whoever
intentionally gives false evidence in any stage of a
judicial proceeding, or fabricates false evidence for
the purpose of being used in any stage of a judicial
proceeding, shall be punished with imprisonment of
either description for a term which may extend to
seven years, and shall also be liable to fine…
Explanation 2: An investigation directed by law
preliminary to a proceeding before a Court of Justice,
is a stage of a judicial proceeding, though that
investigation may not take place before a Court of
Justice.”",Court,ORG
14,"In the present case, the allegation against Accused Nos.",Accused Nos,PERSON
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",2,CARDINAL
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",3,CARDINAL
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",Appellant/Accused No,ORG
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",1,CARDINAL
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",three,CARDINAL
14,"2 and
3 is that they colluded with Appellant/Accused No. 1 to create a
false sale deed, and gave false explanation of escrow arrangement
amongst the three parties, to justify how the seized currency came
to be in the Appellant’s possession.",Appellant,PRODUCT
14,"This was done to exonerate the
Appellant/Accused No. 1 and recover the seized currency at the
stage of investigation itself, which is deemed to be “a stage of a
judicial proceeding” under Explanation 2 of Section 193.",Appellant/Accused No. 1,WORK_OF_ART
14,"This was done to exonerate the
Appellant/Accused No. 1 and recover the seized currency at the
stage of investigation itself, which is deemed to be “a stage of a
judicial proceeding” under Explanation 2 of Section 193.",Section 193,LAW
14,"Had the
genuineness of the sale deed been accepted, the Respondent may
have erroneously opined that the seized currency belonged to
Accused No. 2, and consequently abandoned proceedings under
Section 13(1)(e), PC Act against the Appellant.",2,CARDINAL
14,"Had the
genuineness of the sale deed been accepted, the Respondent may
have erroneously opined that the seized currency belonged to
Accused No. 2, and consequently abandoned proceedings under
Section 13(1)(e), PC Act against the Appellant.",Appellant,PRODUCT
14,"Therefore Section
193, IPC is squarely applicable to the allegations at hand.",IPC,ORG
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?",Section 195(1)(b)(i,LAW
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?",CrPC,ORG
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?",Section 193,LAW
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?",IPC,ORG
15,"Hence, the primary question of law that arises for
our consideration in these appeals is whether
Section 195(1)(b)(i), CrPC bars lodging of case by
the investigating agency under Section 193, IPC,
in respect of offence of giving false evidence which
is committed at the stage of investigation, prior to
production of such evidence before the Trial
Court?","the Trial
Court",ORG
15,"This in turn, requires us to resolve the
following sub­questions:
6.1",6.1,CARDINAL
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",Section 193,LAW
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",IPC,ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15","the Trial
Court",ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",the Trial Court,ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",Section 195(1)(b)(i,LAW
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",CrPC,ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",6.2,CARDINAL
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",Explanation 2 to Section 193,LAW
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",IPC,ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",Section 195(1)(b)(i,LAW
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",CrPC,ORG
15,"Whether an offence under Section 193, IPC
committed at the stage of investigation, prior to
production of the false evidence before the Trial
Court by a person who is not yet party to
proceedings before the Trial Court, is an offence
“in relation to” a proceeding in any court under
Section 195(1)(b)(i), CrPC?
6.2 Whether the words “stage of a judicial proceeding”
under Explanation 2 to Section 193, IPC can be
equated with “proceeding in any court” under
Section 195(1)(b)(i), CrPC?
15",15,CARDINAL
16,"I. General overview of the law on Section 195(1)(b)(ii)
7.",I. General,ORG
16,"I. General overview of the law on Section 195(1)(b)(ii)
7.",Section 195(1)(b)(ii,LAW
16,"I. General overview of the law on Section 195(1)(b)(ii)
7.",7,CARDINAL
16,"Before answering the questions stated in paragraph 6
(supra), it may be useful to refer to the landmark precedents of
this Court which have considered similar issues arising under
Section 195(1)(b)(ii), CrPC.",6,CARDINAL
16,"Before answering the questions stated in paragraph 6
(supra), it may be useful to refer to the landmark precedents of
this Court which have considered similar issues arising under
Section 195(1)(b)(ii), CrPC.",Court,ORG
16,"Before answering the questions stated in paragraph 6
(supra), it may be useful to refer to the landmark precedents of
this Court which have considered similar issues arising under
Section 195(1)(b)(ii), CrPC.",CrPC,ORG
16,"The issue of whether Section 195(1)(b)
(ii), CrPC is applicable to documents which are forged prior to
their production in Court is no longer res integra.",CrPC,ORG
16,"The issue of whether Section 195(1)(b)
(ii), CrPC is applicable to documents which are forged prior to
their production in Court is no longer res integra.",Court,ORG
16,"This Court in
Sachida Nand Singh (supra) has held that Section 195(1)(b)(ii)
read with Section 340(1), CrPC will only apply in respect of
offences which are committed during the time when the
document concerned was custodia legis or in the custody of the
Court.",Nand Singh,PERSON
16,"This Court in
Sachida Nand Singh (supra) has held that Section 195(1)(b)(ii)
read with Section 340(1), CrPC will only apply in respect of
offences which are committed during the time when the
document concerned was custodia legis or in the custody of the
Court.",Section 340(1,LAW
16,"This Court in
Sachida Nand Singh (supra) has held that Section 195(1)(b)(ii)
read with Section 340(1), CrPC will only apply in respect of
offences which are committed during the time when the
document concerned was custodia legis or in the custody of the
Court.",CrPC,ORG
16,"The reasoning given by the Court was as follows:
“5.",Court,ORG
16,"The reasoning given by the Court was as follows:
“5.",5,CARDINAL
16,"The contention of the appellants is that if the
offence alleged is with respect to a document which
reached the Court then the aforesaid bar operates, no
matter whether the offence was committed before or
after its production in court.",Court,ORG
16,"In other words,
according to the appellants, the decisive event for
attracting the bar is the production of the document
in the Court.",Court,ORG
16,"Even if the clause is capable of two interpretations
we are inclined to choose the narrower interpretation
16",two,CARDINAL
16,"Even if the clause is capable of two interpretations
we are inclined to choose the narrower interpretation
16",16,CARDINAL
17,"Section 190 of the Code
empowers “any magistrate of the first class” to take
cognizance of “any offence” upon receiving a
complaint, or police report or information or upon his
own knowledge.",Section 190 of the Code,LAW
17,"Section 190 of the Code
empowers “any magistrate of the first class” to take
cognizance of “any offence” upon receiving a
complaint, or police report or information or upon his
own knowledge.",first,ORDINAL
17,"Section 195 restricts such general
powers of the magistrate, and the general right of a
person to move the court with a complaint is to that
extent curtailed.",Section 195,LAW
17,"It is a well­recognised canon of
interpretation that provision curbing the general
jurisdiction of the court must normally receive strict
interpretation unless the statute or the context
requires otherwise (Abdul Waheed Khan v. Bhawani",Abdul Waheed Khan,PERSON
17,"It is a well­recognised canon of
interpretation that provision curbing the general
jurisdiction of the court must normally receive strict
interpretation unless the statute or the context
requires otherwise (Abdul Waheed Khan v. Bhawani",Bhawani,PERSON
17,[AIR 1966 SC 1718: (1966) 3 SCR 617]).,AIR 1966,ORG
17,[AIR 1966 SC 1718: (1966) 3 SCR 617]).,1966,DATE
17,[AIR 1966 SC 1718: (1966) 3 SCR 617]).,3,CARDINAL
17,[AIR 1966 SC 1718: (1966) 3 SCR 617]).,617,CARDINAL
17,"That apart it is difficult to interpret Section 195(1)
(b)(ii) as containing a bar against initiation of
prosecution proceedings merely because the
document concerned was produced in a court albeit
the act of forgery was perpetrated prior to its
production in the Court.",Section 195(1,LAW
17,"That apart it is difficult to interpret Section 195(1)
(b)(ii) as containing a bar against initiation of
prosecution proceedings merely because the
document concerned was produced in a court albeit
the act of forgery was perpetrated prior to its
production in the Court.",Court,ORG
17,"It is a
settled proposition that if the language of a legislation
is capable of more than one interpretation, the one
which is capable of causing mischievous
consequences should be averted…
xxx
17",more than one,CARDINAL
17,"It is a
settled proposition that if the language of a legislation
is capable of more than one interpretation, the one
which is capable of causing mischievous
consequences should be averted…
xxx
17",one,CARDINAL
17,"It is a
settled proposition that if the language of a legislation
is capable of more than one interpretation, the one
which is capable of causing mischievous
consequences should be averted…
xxx
17",17,CARDINAL
18,"10…It has to be noted that Section 340 falls within
Chapter XXVI of the Code which contains a fasciculus
of “Provisions as to offences affecting the
administration of justice” as the title of the chapter
appellates.",10,CARDINAL
18,"10…It has to be noted that Section 340 falls within
Chapter XXVI of the Code which contains a fasciculus
of “Provisions as to offences affecting the
administration of justice” as the title of the chapter
appellates.",Section 340,LAW
