Page,Relevant Sentence
53,"goal was to ensure that the Appellant/Accused No. 1 was cleared
of wrongdoing at the stage of investigation itself."
53,"It was after
being charged under Section 193, IPC, that the
Appellants/accused reiterated the fictitious escrow arrangement
story before the Trial Court so as to prove their innocence."
53,"Hence
it cannot be said that the offence under Sections 120B read with
193, IPC was committed by the Appellants “in relation to” a
proceeding in a court under Section 195(1)(b)(i), CrPC."
53,"22.2 Section 2(i), CrPC defines “judicial proceeding” as
including any proceeding in the course of which evidence is or
may be legally taken by oath."
53,"However, neither was the
fabricated evidence in the present case given on oath before the
investigating officer, nor is the investigating authority under the
PC Act deemed to be a “court” for the purpose of Section 195(1)
(b), CrPC."
54,"22.3 Had this been a case wherein the Respondent had not
developed any suspicion against Accused Nos. 2 and 3, and the
Trial Court had subsequently discovered the subterfuge caused
by them, we may have taken a different view."
54,"As we have noted in
paragraph 18 (supra), where the fabrication of evidence has
escaped the scrutiny of the investigating agency, and the case is
subsequently brought to trial, such evidence would have direct
bearing on the trial court’s opinion and hence the bar under
Section 195(1)(b)(i), CrPC may be applicable."
54,"However, in the
present case, the investigating agency has been sagacious
enough to detect the commission of offence under Section 193,
IPC at the preliminary stage."
54,"Thus, the questions of law stated in paragraph 6 (supra)
stand answered against the Appellants/accused."
55,"The High Court
has rightly observed that the Appellant/Accused No. 1 had not
raised the defence of holding the money in escrow for Accused
Nos."
55,This defence was raised by Accused Nos.
55,"2 and 3 at a
highly belated stage on 4.02.2002, almost a year after the
recovery of the seized currency, though the Appellant had
corresponded with Accused No. 2 in May­June, 2001."
55,"Hence it is apparent that the Appellants/accused
entered into an elaborate conspiracy and attempted to create a
false circumstance of escrow transaction for the purpose of
shielding Appellant/Accused No. 1 from prosecution."
55,"In fact, the
High Court has shown great lenity by reducing the sentences
awarded to the Appellants/accused in view of their advanced age
55"
56,"In view of the gravity of the
offence, no further benefit can be granted to them in this regard."
56,"The questions of law formulated in paragraph 6
(supra) are answered as follows:
Section 195(1)(b)(i), CrPC will not bar
prosecution by the investigating agency for offence
punishable under Section 193, IPC, which is
committed during the stage of investigation."
56,"This is
provided that the investigating agency has lodged
complaint or registered the case under Section 193,
IPC prior to commencement of proceedings and
production of such evidence before the trial court."
56,"In such circumstance, the same would not be
considered an offence committed in, or in relation
to, any proceeding in any Court for the purpose of
Section 195(1)(b)(i), CrPC."
